brand,model_year,description,fuel,transmission,engine,mileage,price,currency,url,image
Suzuki,2022,Suzuki Wagon R 2022 for sale in Rawalpindi,Petrol,Manual,1000cc,"43,700 km",2890000,PKR,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2022-for-sale-in-rawalpindi-10833942,https://cache1.pakwheels.com/ad_pictures/1332/suzuki-wagon-r-vxl-2022-133265351.jpg
Suzuki,2011,Suzuki Mehran 2011 for sale in Rawalpindi,Petrol,Manual,800cc,"73,911 km",1300000,PKR,https://www.pakwheels.com/used-cars/suzuki-mehran-2011-for-sale-in-rawalpindi-10791295,https://cache1.pakwheels.com/ad_pictures/1325/suzuki-mehran-vx-euro-ii-2015-132589109.jpg
FAW,2020,FAW V2 2020 for sale in Lahore,Petrol,Manual,1300cc,"85,417 km",1800000,PKR,https://www.pakwheels.com/used-cars/faw-v2-2020-for-sale-in-lahore-10791236,https://cache3.pakwheels.com/ad_pictures/1325/faw-v2-vct-i-2020-132588137.jpg
Suzuki,2021,Suzuki Alto 2021 for sale in Islamabad,Petrol,Manual,660cc,"77,200 km",2350000,PKR,https://www.pakwheels.com/used-cars/suzuki-alto-2021-for-sale-in-islamabad-10790967,https://cache3.pakwheels.com/ad_pictures/1325/suzuki-alto-vxr-2-2021-132583939.jpg
Hyundai,2024,Hyundai Santa Fe 2024 for sale in Karachi,Hybrid,Automatic,1600cc,"1,205 km",15500000,PKR,https://www.pakwheels.com/used-cars/hyundai-santa-fe-2024-for-sale-in-karachi-10790475,https://cache4.pakwheels.com/ad_pictures/1325/hyundai-santa-fe-signature-2024-132576586.jpg
Toyota,2019,Toyota Vitz 2019 for sale in Karachi,Petrol,Automatic,996cc,"115,163 km",3600000,PKR,https://www.pakwheels.com/used-cars/toyota-vitz-2019-for-sale-in-karachi-10790323,https://cache2.pakwheels.com/ad_pictures/1325/toyota-vitz-1-0-f-2019-132574065.jpg
Changan,2022,Changan Oshan X7 2022 for sale in Islamabad,Petrol,Automatic,1500cc,"32,000 km",8000000,PKR,https://www.pakwheels.com/used-cars/changan-oshan-x7-2022-for-sale-in-islamabad-10782830,https://cache2.pakwheels.com/ad_pictures/1324/changan-oshan-x7-futuresense-2022-132455021.jpg
KIA,2020,KIA Sportage 2020 for sale in Islamabad,Petrol,Automatic,2000cc,"43,586 km",6750000,PKR,https://www.pakwheels.com/used-cars/kia-sportage-2020-for-sale-in-islamabad-10734306,https://cache4.pakwheels.com/ad_pictures/1317/kia-sportage-awd-2020-131754743.jpg
Mercedes Benz,2021,Mercedes Benz E Class 2021 for sale in Lahore,Petrol,Automatic,1500cc,"46,000 km",29800000,PKR,https://www.pakwheels.com/used-cars/mercedes-benz-e-class-2021-for-sale-in-lahore-10834667,https://cache4.pakwheels.com/ad_pictures/1332/mercedes-benz-e-class-e-180-amg-2021-133264609.jpg
Toyota,2021,Toyota Yaris Hatchback 2021 for sale in Lahore,Petrol,Automatic,1000cc,"56,000 km",4600000,PKR,https://www.pakwheels.com/used-cars/toyota-yaris-hatchback-2021-for-sale-in-lahore-10698408,https://cache4.pakwheels.com/ad_pictures/1312/toyota-yaris-hatchback-x-50-2021-131254811.jpg
Suzuki,2021,Suzuki Alto 2021 for sale in Lahore,Petrol,Automatic,660cc,"70,000 km",2690000,PKR,https://www.pakwheels.com/used-cars/suzuki-alto-2021-for-sale-in-lahore-10834767,https://cache3.pakwheels.com/ad_pictures/1332/suzuki-alto-vxl-2-2021-133266876.jpg
MG,2021,MG HS 2021 for sale in Lahore,Petrol,Automatic,1500cc,"49,000 km",6375000,PKR,https://www.pakwheels.com/used-cars/mg-hs-2021-for-sale-in-lahore-10715482,https://cache3.pakwheels.com/ad_pictures/1326/mg-hs-2-trophy-2021-132670907.jpg
Toyota,2017,Toyota Vitz 2017 for sale in Islamabad,Hybrid,Automatic,1500cc,"125,700 km",3985000,PKR,https://www.pakwheels.com/used-cars/toyota-vitz-2017-for-sale-in-islamabad-10834703,https://cache4.pakwheels.com/ad_pictures/1332/toyota-vitz-hybrid-u-1-5-2017-133265659.jpg
Toyota,2020,Toyota Sienta 2020 for sale in Peshawar,Hybrid,Automatic,1500cc,"52,274 km",6325000,PKR,https://www.pakwheels.com/used-cars/toyota-sienta-2020-for-sale-in-peshawar-10830318,https://cache3.pakwheels.com/ad_pictures/1332/toyota-sienta-x-24-2020-133260350.jpg
Suzuki,2020,Suzuki Wagon R 2020 for sale in Karachi,Petrol,Manual,1000cc,"44,713 km",3000000,PKR,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2020-for-sale-in-karachi-10696735,https://cache1.pakwheels.com/ad_pictures/1311/suzuki-wagon-r-vxl-2020-v-1-131118075.jpg
Toyota,2021,Toyota Aqua 2021 for sale in Lahore,Hybrid,Automatic,1500cc,"44,000 km",6325000,PKR,https://www.pakwheels.com/used-cars/toyota-aqua-2021-for-sale-in-lahore-10802932,https://cache3.pakwheels.com/ad_pictures/1327/toyota-aqua-s-led-soft-leather-selection-2021-132769853.jpg
Toyota,2009,Toyota Vitz 2009 for sale in Karachi,Petrol,Automatic,1000cc,"166,538 km",2080000,PKR,https://www.pakwheels.com/used-cars/toyota-vitz-2009-for-sale-in-karachi-10674803,https://cache3.pakwheels.com/ad_pictures/1307/toyota-vitz-1-0-f-2009-130773920.jpg
Toyota,2021,Toyota Passo 2021 for sale in Islamabad,Petrol,Automatic,1000cc,"185,000 km",4250000,PKR,https://www.pakwheels.com/used-cars/toyota-passo-2021-for-sale-in-islamabad-10831742,https://cache4.pakwheels.com/ad_pictures/1332/toyota-passo-x-s-2-2021-133265619.jpg
